qty_dot_url,directory_length,time_domain_activation,qty_slash_directory,length_url,domain_length,asn_ip,qty_slash_url,qty_dot_domain,qty_vowels_domain,file_length
3,17,-1,1,44,27,-1,1,2,9,16
3,32,-1,2,59,27,-1,2,2,8,22
4,-1,-1,-1,47,47,15169,0,4,12,-1
2,26,2013,4,36,10,-1,4,1,3,10
3,43,-1,2,59,16,-1,2,2,2,40
1,15,605,2,29,14,46606,2,1,5,6
2,26,-1,1,47,21,46606,1,2,7,25
2,3,462,1,30,27,46606,1,2,9,2
6,39,823,3,52,13,35017,3,3,0,9
5,54,-1,3,671,28,-1,3,2,9,9
3,9,-1,1,45,36,-1,1,2,13,8
1,-1,475,-1,20,20,7489,0,1,7,-1
2,9,-1,2,35,26,-1,2,2,8,2
2,-1,-1,-1,23,23,14618,0,2,5,-1
2,-1,-1,-1,41,41,14061,0,2,9,-1
4,60,-1,2,82,22,-1,2,3,7,55
5,26,-1,2,47,21,-1,2,4,1,22
4,19,-1,3,78,43,-1,3,3,15,6
7,22,889,2,164,17,16509,2,2,5,9
2,-1,-1,-1,37,37,47583,0,2,12,-1
1,-1,-1,-1,15,15,-1,0,1,6,-1
2,-1,-1,-1,16,16,-1,0,2,5,-1
3,50,-1,3,70,20,-1,3,1,9,35
2,62,627,3,78,16,-1,3,1,7,9
2,50,1946,4,70,20,36352,4,2,7,32
2,32,-1,4,40,8,3223,4,1,1,15
3,13,-1,1,93,38,46606,1,2,9,12
4,49,-1,5,121,14,36943,5,2,6,11
5,32,-1,2,138,106,-1,2,4,13,10
1,11,-1,2,26,15,-1,2,1,5,7
2,12,106,1,131,30,-1,1,1,9,11
2,-1,-1,-1,45,45,47583,0,2,14,-1
2,30,-1,3,43,13,-1,3,1,5,19
3,6,-1,1,27,21,35916,1,3,3,5
1,36,8723,2,45,9,13335,2,1,3,28
4,15,-1,1,44,29,-1,1,2,8,14
2,43,551,3,55,12,37353,3,1,5,30
3,13,-1,1,83,28,-1,1,2,7,12
2,27,278,3,57,30,-1,3,1,10,9
1,42,-1,2,59,17,-1,2,1,4,32
7,50,-1,5,87,37,15169,5,6,8,25
4,-1,-1,-1,47,47,15169,0,4,13,-1
2,-1,3880,-1,26,26,15169,0,2,9,-1
4,60,-1,2,82,22,-1,2,3,7,55
3,3,-1,1,25,22,-1,1,3,5,2
3,10,-1,1,34,24,-1,1,2,6,9
2,6,-1,1,30,24,-1,1,2,4,5
2,7,149,1,39,23,-1,1,1,4,6
2,-1,-1,-1,26,26,-1,0,2,9,-1
2,-1,-1,-1,28,28,23033,0,2,6,-1
3,73,4930,8,92,19,3254,8,2,9,4
2,15,-1,2,37,22,-1,2,1,7,8
2,26,-1,3,119,26,-1,3,1,8,10
3,10,-1,1,42,32,-1,1,2,9,9
4,31,2223,4,68,10,47846,4,1,4,9
4,13,-1,1,95,40,-1,1,3,12,12
2,20,166,3,35,15,30633,3,2,5,6
2,20,-1,4,98,51,-1,4,2,18,0
4,26,-1,3,67,16,201706,3,2,2,14
2,17,248,3,35,18,46606,3,1,7,8
2,36,1207,4,62,14,-1,4,1,6,11
2,21,-1,1,65,44,-1,1,1,8,20
1,11,4223,2,20,9,48716,2,1,2,3
4,28,-1,2,58,30,-1,2,3,8,23
1,-1,-1,-1,15,15,-1,0,1,3,-1
3,10,378,2,56,13,-1,2,1,4,0
4,11,-1,1,58,47,15169,1,3,5,10
1,10,-1,2,20,10,-1,2,1,5,5
2,38,1159,4,53,15,-1,4,1,5,16
2,14,368,2,33,19,-1,2,1,7,9
3,17,-1,2,40,23,-1,2,2,5,10
3,-1,-1,-1,24,24,8075,0,3,4,-1
2,31,551,3,43,12,37353,3,1,5,12
2,52,2291,5,104,21,45815,5,1,9,8
2,-1,-1,-1,29,29,47583,0,2,7,-1
4,-1,-1,-1,47,47,15169,0,4,14,-1
1,14,1980,2,30,16,46606,2,1,5,7
4,-1,-1,-1,42,42,-1,0,4,10,-1
1,11,164,1,22,11,-1,1,1,4,10
2,58,1933,4,72,14,20857,4,1,3,10
4,60,-1,2,82,22,-1,2,3,7,55
2,32,-1,4,52,20,-1,4,1,7,9
3,6,-1,1,26,20,-1,1,2,4,5
3,30,-1,5,61,31,-1,5,3,10,6
4,51,-1,3,65,14,32244,3,3,0,11
4,-1,-1,-1,47,47,15169,0,4,12,-1
2,20,-1,2,36,16,-1,2,2,3,6
3,-1,-1,-1,31,31,-1,0,3,6,-1
3,17,-1,1,41,24,-1,1,2,8,16
3,8,-1,2,50,42,36352,2,3,8,5
4,44,-1,2,57,13,46606,2,3,0,10
2,4,-1,1,26,22,-1,1,2,6,3
2,21,4692,4,27,6,15083,4,1,1,8
1,14,-1,1,20,6,-1,1,1,2,13
1,-1,441,-1,32,32,-1,0,1,13,-1
2,9,-1,2,353,19,-1,2,2,9,5
4,12,-1,2,26,14,-1,2,3,2,9
4,51,-1,3,65,14,32244,3,3,0,11
3,105,-1,1,137,32,29119,1,2,12,104
3,11,-1,1,63,52,-1,1,3,13,10
1,36,-1,4,51,15,-1,4,1,3,7
2,14,-1,2,49,35,-1,2,1,11,10
2,32,686,5,55,23,13335,5,1,7,8
2,52,2947,2,71,19,17974,2,2,6,36
1,10,358,1,26,16,-1,1,1,7,9
1,-1,-1,-1,15,15,49335,0,1,5,-1
2,10,403,1,26,16,7018,1,1,4,9
2,-1,-1,-1,24,24,26496,0,2,8,-1
2,-1,-1,-1,39,39,-1,0,2,11,-1
3,10,-1,2,22,12,-1,2,3,0,3
1,38,-1,3,65,27,-1,3,1,10,8
2,84,674,4,591,18,8075,4,2,5,5
1,-1,-1,-1,25,25,-1,0,1,9,-1
3,13,884,2,231,18,-1,2,2,3,8
2,66,1716,4,91,25,-1,4,1,8,10
4,53,-1,4,66,13,-1,4,3,0,13
2,-1,-1,-1,32,32,14061,0,2,9,-1
4,16,-1,2,45,29,-1,2,4,4,10
1,51,1092,8,64,13,5503,8,1,3,10
5,47,535,5,96,15,4906,5,1,6,9
3,83,-1,10,99,16,3141,10,3,4,7
5,21,-1,3,104,16,-1,3,1,6,12
3,13,-1,1,86,32,-1,1,2,7,12
3,18,1652,2,70,20,36024,2,2,7,11
2,-1,-1,-1,35,35,-1,0,2,13,-1
1,-1,422,-1,25,25,-1,0,1,7,-1
15,198,-1,18,244,46,-1,18,3,13,6
4,58,-1,4,78,20,132634,4,3,5,8
3,13,-1,1,88,33,-1,1,2,6,12
4,73,-1,7,93,20,-1,7,3,7,7
1,19,-1,3,44,25,-1,3,1,9,7
1,45,7289,2,60,15,20013,2,1,5,32
2,43,6104,4,171,17,46606,4,1,5,15
2,19,219,2,37,18,-1,2,1,8,10
2,28,-1,5,83,26,-1,5,2,10,8
1,16,-1,2,24,8,46606,2,1,3,6
2,-1,-1,-1,13,13,46606,0,2,2,-1
1,8,5095,1,14,6,395224,1,1,1,7
1,-1,-1,-1,12,12,-1,0,1,3,-1
3,27,-1,2,49,16,201706,2,2,2,11
2,13,9202,2,25,12,22653,2,2,4,6
2,11,-1,1,30,19,-1,1,2,8,10
3,59,184,4,74,15,16347,4,1,4,9
2,11,-1,2,30,19,-1,2,2,2,1
3,65,-1,6,85,20,-1,6,3,7,9
2,-1,-1,-1,27,27,53665,0,2,11,-1
5,117,-1,1,139,22,11022,1,3,5,116
1,17,74,3,28,11,-1,3,1,1,4
2,14,-1,3,39,25,15169,3,2,10,3
1,-1,287,-1,20,20,13335,0,1,6,-1
5,141,-1,1,169,28,-1,1,3,5,140
1,33,1506,4,44,11,-1,4,1,4,4
1,5,-1,1,11,6,-1,1,1,1,4
1,64,-1,5,81,17,-1,5,1,5,32
3,10,-1,2,23,13,8075,2,3,0,5
2,23,-1,3,60,37,47583,3,2,12,2
1,67,-1,3,77,10,49699,3,1,3,29
2,21,-1,3,33,12,-1,3,1,3,10
2,73,3759,7,86,13,-1,7,1,2,16
3,33,-1,4,70,37,47583,4,2,12,9
3,20,-1,1,44,24,47583,1,2,4,19
2,18,3865,2,34,16,55933,2,1,5,12
1,-1,144,-1,15,15,-1,0,1,5,-1
2,-1,-1,-1,30,30,-1,0,2,6,-1
2,7,-1,2,34,23,-1,2,2,7,0
2,-1,-1,-1,32,32,-1,0,2,11,-1
2,-1,-1,-1,28,28,23033,0,2,7,-1
3,106,-1,9,493,33,47583,9,2,9,13
3,-1,597,-1,35,35,-1,0,3,9,-1
